,Visit,Values,Arm
4830,0m,30.5364557560142,AZM
4829,0m,40.8627002850727,AZM
4828,0m,36.7344241916094,AZM
4838,0m,37.7858813678562,AZM
4827,0m,38.4140952147168,AZM
4825,0m,47.6881494326518,AZM
4824,0m,18.8871823015913,AZM
4823,0m,15.6433972836799,AZM
4822,0m,37.6350945472079,AZM
4821,0m,57.7369449816873,AZM
4820,0m,27.7788530241329,AZM
4819,0m,48.8373499142265,AZM
4818,0m,31.2671387970194,AZM
4817,0m,30.9827400595737,AZM
4816,0m,37.8796714203842,AZM
4826,0m,95.8123877142347,AZM
4713,0m,44.7278930847794,AZM
4839,0m,63.5701447224568,AZM
4841,0m,25.5941797486886,AZM
4863,0m,29.3036446155591,AZM
4862,0m,24.812823710163,AZM
4861,0m,34.4513735916625,AZM
4860,0m,26.182788613107,AZM
4859,0m,49.0371336217416,AZM
4858,0m,33.5789101730499,AZM
4857,0m,37.1796798175735,AZM
4856,0m,15.640288643551,AZM
4855,0m,25.5989130282639,AZM
4854,0m,54.9278483639,AZM
4840,0m,31.6632443848422,AZM
4853,0m,50.8706443402396,AZM
4851,0m,42.4072091443416,AZM
4850,0m,36.8730511793326,AZM
4849,0m,47.371770326293,AZM
4848,0m,22.5758626420624,AZM
4847,0m,24.9236713121703,AZM
4846,0m,17.1380593248009,AZM
4845,0m,44.1015800105257,AZM
4844,0m,28.6140908490858,AZM
4843,0m,29.2690612678696,AZM
4842,0m,30.084089141463,AZM
4852,0m,43.7180559627259,AZM
4099,0m,37.6338991960371,AZM
4712,0m,25.4668499458986,AZM
4710,0m,30.8400985002977,AZM
4580,0m,57.7349021675794,AZM
4579,0m,36.6066607473248,AZM
4578,0m,54.5854974944349,AZM
4577,0m,71.0033534095785,AZM
4576,0m,52.0940048761608,AZM
4575,0m,50.2650864374792,AZM
4574,0m,76.7293693010674,AZM
4573,0m,41.1520889923053,AZM
4572,0m,59.3057768255423,AZM
4571,0m,43.1360491986193,AZM
4570,0m,57.9272126268785,AZM
4569,0m,47.998891651745,AZM
4568,0m,59.5918575215739,AZM
4567,0m,60.2630755980863,AZM
4566,0m,49.8804199741903,AZM
4565,0m,48.0635140253147,AZM
4564,0m,46.1938138391166,AZM
4563,0m,72.4782547631128,AZM
4562,0m,40.0305071629381,AZM
4561,0m,68.5595794452609,AZM
4560,0m,63.6504057342564,AZM
4581,0m,42.7618326393746,AZM
4582,0m,51.3839644530639,AZM
4583,0m,55.2701010625693,AZM
4584,0m,52.2766719940955,AZM
4606,0m,35.7456683003269,AZM
4605,0m,33.8316622991854,AZM
4604,0m,41.4621604821909,AZM
4603,0m,42.4652125943481,AZM
4602,0m,42.8848755546552,AZM
4601,0m,73.018028921232,AZM
4600,0m,37.3407992728557,AZM
4599,0m,49.7650189420536,AZM
4598,0m,47.1160712041614,AZM
4597,0m,55.9621834539769,AZM
4559,0m,22.1873899294574,AZM
4596,0m,49.6252831742214,AZM
4594,0m,51.7242288624532,AZM
4593,0m,47.6526472000369,AZM
4592,0m,52.0182643987775,AZM
4591,0m,64.943272918829,AZM
4590,0m,39.1551064034492,AZM
4589,0m,35.9645876176168,AZM
4588,0m,52.5055895036254,AZM
4587,0m,67.0532257592873,AZM
4586,0m,55.1216419489383,AZM
4585,0m,39.8689617151054,AZM
4595,0m,58.5811064363229,AZM
4607,0m,36.9304231750857,AZM
4558,0m,27.4353083387132,AZM
4556,0m,28.7274670127875,AZM
4529,0m,31.0201019955044,AZM
4528,0m,32.9655139709636,AZM
4527,0m,36.3831785199856,AZM
4526,0m,55.1544344586768,AZM
4525,0m,43.7554871607072,AZM
4524,0m,24.2873156272227,AZM
4523,0m,30.6017781387398,AZM
4522,0m,35.6651066333155,AZM
4521,0m,28.4765911537751,AZM
4520,0m,29.4143812547488,AZM
4519,0m,26.7279618193794,AZM
4518,0m,22.4747948710204,AZM
4517,0m,26.992081414973,AZM
4516,0m,42.3639248254856,AZM
4515,0m,49.7393857290257,AZM
4514,0m,37.0026196996069,AZM
4513,0m,37.3170725059904,AZM
4512,0m,31.8447980842022,AZM
4511,0m,37.3071647884395,AZM
4510,0m,27.3543782539963,AZM
4509,0m,29.1655616127201,AZM
4530,0m,32.5247122321874,AZM
4531,0m,51.0772468590934,AZM
4532,0m,29.4808146760902,AZM
4533,0m,51.050145113199,AZM
