"Estimate","Std..Error","t.value","Pr...t.."
"phi.(Intercept)",-3.75357512041039,0.588740221235777,-6.37560503770502,9.93638848329088e-10
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.64833149115224,0.971829918545184,-8.89901754012541,1.74732496747117e-16
"mu.visitWeek 72",-0.289525593265444,0.763852649185507,-0.379033303837021,0.70501433495039
"phi.(Intercept)",-3.48505647864506,1.00155720181546,-3.47963798006535,0.000600953230596304
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.99766512293455,0.598226948765456,-16.7121610679132,1.58787141166808e-41
"mu.visitWeek 72",1.99758261772132,0.53860770887476,3.70878950450709,0.000261353564444593
"phi.(Intercept)",-5.14132915368537,0.423009302831569,-12.1541751428869,1.47389469669827e-26
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.78086416235213,0.501677307436393,-19.4963256606782,1.50171186788309e-50
"mu.visitWeek 72",1.72608070368488,0.449941532150995,3.83623333332481,0.000161582994946052
"phi.(Intercept)",-5.39367218886444,0.382312293926982,-14.108027062019,6.05765145683687e-33
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.09020185334952,0.275772089461132,-25.7103678156988,1.90639454419281e-69
"mu.visitWeek 72",-0.59192463964043,0.263688634531933,-2.24478632039315,0.0257374283029691
"phi.(Intercept)",-4.59372226652229,0.29717773330146,-15.4578279317528,2.13613693232559e-37
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.22852486653858,1.44985600149636,-6.36513202484525,1.05297208249002e-09
"mu.visitWeek 72",1.41608193909436,1.11820509899266,1.26638837577296,0.206660706226664
"phi.(Intercept)",-2.50469320654216,1.22783565953558,-2.03992544693607,0.0425055770812166
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.42769915761414,0.703405516917758,-13.4029360459458,1.26021467851978e-30
"mu.visitWeek 72",1.16716025705622,0.577407115067098,2.02138184064564,0.0444038198298764
"phi.(Intercept)",-4.42927937777968,0.615080140658321,-7.20114190817317,8.5142565001042e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.8262776653212,0.440421441270895,-17.7699742381693,5.53589546057062e-45
"mu.visitWeek 72",0.560630292976043,0.352905227109079,1.58861430749723,0.113527170559125
"phi.(Intercept)",-3.9872039379526,0.423714437388706,-9.41012055790497,5.46692034761133e-18
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.30069950733307,0.77202097687997,-12.0472108736225,3.26315460388227e-26
"mu.visitWeek 72",0.0247324862877125,0.632483919606178,0.0391037392746877,0.968841748455765
"phi.(Intercept)",-4.54276916764623,0.785436325463599,-5.78375231749676,2.38129903740941e-08
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.66991728833664,0.238744706649838,-32.1260202831887,8.52571472873227e-87
"mu.visitWeek 72",0.142630128218891,0.22531479929871,0.633026009222767,0.527348293964309
"phi.(Intercept)",-5.31741936682748,0.245381939290117,-21.6699704232945,2.21187079282893e-57
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.73425736884673,0.265381621829729,-29.1439072363839,5.27535205336145e-79
"mu.visitWeek 72",-0.20575636827997,0.25192823228052,-0.816726122425462,0.414933777725419
"phi.(Intercept)",-5.24555237345837,0.281107926138641,-18.660279151543,7.22516880285505e-48
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.77563415855536,0.488803324151125,-17.9533029440736,1.40318865166373e-45
"mu.visitWeek 72",0.108410121788579,0.417327392222652,0.259772360522983,0.795272768554383
"phi.(Intercept)",-4.93344543685589,0.496194486520926,-9.94256399632088,1.35924445908898e-19
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.43041294340419,0.272428673050123,-30.945395170842,9.12518784612453e-84
"mu.visitWeek 72",0.00578355190008675,0.26620538039484,0.0217259016008937,0.982685520642105
"phi.(Intercept)",-5.87799590286921,0.286505996827701,-20.516135675876,8.79412244540884e-54
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.54090108492488,0.257339136976823,-29.3033588808687,1.96721509639794e-79
"mu.visitWeek 72",-0.739928646855059,0.269957129281017,-2.74091167299685,0.00661029972264221
"phi.(Intercept)",-5.24223305818875,0.285311797320759,-18.3736989056054,6.08621515711317e-47
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.45558428909096,0.356783248315143,-23.6994991469505,1.49962616387412e-63
"mu.visitWeek 72",0.0857311519833113,0.319998485118403,0.267911118240418,0.789008893486222
"phi.(Intercept)",-5.28182807253042,0.365518364535445,-14.4502399468857,4.51122472643914e-34
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.15851422413743,0.754760999235542,-10.8094008996235,2.83839566785808e-22
"mu.visitWeek 72",0.00504795071216508,0.577468046563135,0.00874152386821835,0.993032972337009
"phi.(Intercept)",-3.4002813873256,0.763015458698946,-4.4563728671023,1.30468478379224e-05
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.06022083350706,0.311709603407257,-25.8581087826677,7.17337341575545e-70
"mu.visitWeek 72",-0.231821379808293,0.292864615470144,-0.791565001583219,0.429433484973802
