"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.9398759206911,0.562401173186122,-15.8959055331354,2.56410704230745e-41
"mu.visitWeek 48",-1.43406664133147,0.645517655946855,-2.22157616932718,0.0270865647935095
"phi.(Intercept)",-4.94654935675833,0.621020070856873,-7.96520046434757,3.81990679507934e-14
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.34745598140067,0.580860701012045,-16.0924227876226,4.80899180141678e-42
"mu.visitWeek 48",-0.426963804055559,0.527032999688143,-0.810127267757811,0.418533596786959
"phi.(Intercept)",-5.08941748326557,0.615869811422679,-8.26378787995608,5.15863208238443e-15
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.94074430476654,0.863232018369835,-11.5157270504621,1.65541183836817e-25
"mu.visitWeek 48",0.867878207758033,0.690095542484819,1.25762036461368,0.209544347672884
"phi.(Intercept)",-4.40755811443446,0.794656233103676,-5.54649662435785,6.58275662132413e-08
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.03614247449575,0.275569586706339,-32.7907828381842,2.14110824310534e-99
"mu.visitWeek 48",-1.15705649899043,0.35070416405678,-3.2992379833936,0.00109088812515528
