"","average","sd","ratio","ava","avb","cumsum","p"
"ASV_1235",9.38423642252878e-06,7.9788010734141e-05,0.117614618238794,1.25738427492364e-05,6.28066662492977e-06,0.999730935218332,1
"ASV_897",9.0923265535385e-06,5.57216195984392e-05,0.16317412557393,1.8184653107077e-05,0,0.999748971493337,0.158415841584158
"ASV_1121",8.73005722081739e-06,5.7609115216223e-05,0.151539512246475,8.42243909424692e-06,9.20098690964016e-06,0.999766289141567,1
"Brevundimonas",8.36210433605151e-06,7.88707587187548e-05,0.106022871744773,0,1.6724208672103e-05,0.999782876888668,0.455445544554455
"ASV_508",8.03259305014021e-06,5.89539955250611e-05,0.136251885535486,1.60651861002804e-05,0,0.999798810990506,0.297029702970297
"Desulfobulbus",7.75501675435966e-06,5.51330931631415e-05,0.140659925090947,1.55100335087193e-05,0,0.999814194469534,0.287128712871287
"ASV_1095",7.46934738131893e-06,6.37055679585399e-05,0.117247952112758,1.41201578576968e-05,8.41594282545082e-07,0.999829011271668,0.534653465346535
"ASV_1258",7.16738062508507e-06,6.94875308666049e-05,0.103146284458492,1.43347612501701e-05,0,0.999843229068099,0.445544554455446
"ASV_596",6.39306965690735e-06,4.23913445244006e-05,0.150810731026176,7.90488010308263e-06,4.98954523954141e-06,0.99985591087861,1
"ASV_934",6.12123741905012e-06,4.14143377145228e-05,0.147804788313772,9.69145554580008e-06,2.63435194942044e-06,0.999868053460689,1
"ASV_422",5.86218369227863e-06,4.68400605819776e-05,0.125153204744876,9.51897525515914e-06,2.267515851353e-06,0.999879682162824,1
"ASV_561",5.76598437128712e-06,4.31626403762648e-05,0.133587387634836,5.68251959049462e-06,5.927291886196e-06,0.999891120036198,1
"ASV_1325",5.31141727168939e-06,3.45275963787534e-05,0.153831075103675,8.84261145870724e-06,1.8565183597289e-06,0.999901656193475,0.623762376237624
"DMI",5.28418512823901e-06,5.78260580576894e-05,0.0913806907426978,1.0568370256478e-05,0,0.999912138330867,1
"ASV_1212",4.99025525391944e-06,4.2785027139234e-05,0.116635551911182,9.98051050783887e-06,0,0.999922037405166,0.475247524752475
"ASV_894",4.543491348776e-06,3.8796654772066e-05,0.117110389425826,9.08698269755199e-06,0,0.999931050242416,0.534653465346535
"ASV_682",4.43147731225952e-06,2.58277105502783e-05,0.171578402337786,0,8.86295462451904e-06,0.999939840879555,0.0792079207920792
"Desulfomicrobium",4.22215328368399e-06,3.69047485147328e-05,0.114406775648355,8.44430656736799e-06,0,0.999948216284606,0.495049504950495
"ASV_1343",4.19551658020838e-06,3.10243564355065e-05,0.135232993113976,0,8.39103316041675e-06,0.999956538850935,0.277227722772277
"ASV_1867",4.17514478547632e-06,3.60775008876078e-05,0.115727106444627,4.94373134864991e-06,3.45387153094583e-06,0.999964821006123,1
"ASV_1531",3.95455903539897e-06,3.23578861350712e-05,0.122213145163176,7.90911807079794e-06,0,0.99997266558956,0.534653465346535
"ASV_1234",3.45119288267595e-06,3.00287607312541e-05,0.114929580796317,2.72573392657418e-06,4.2139906596897e-06,0.999979511655148,1
"ASV_1888",3.39369583024363e-06,3.20084964662406e-05,0.106024843554366,6.78739166048726e-06,0,0.999986243664928,1
"Pseudoramibacter",3.09267586936246e-06,2.86930810225916e-05,0.107784725764634,1.75454756797775e-06,4.45483906893863e-06,0.999992378547144,1
"ASV_1939",2.02356844168067e-06,1.76189512316421e-05,0.114851810137627,4.04713688336134e-06,0,0.99999639266132,1
"ASV_1306",1.81850749460666e-06,1.6988622260442e-05,0.107042670484296,0,3.63701498921333e-06,1,1
