"Estimate","Std..Error","t.value","Pr...t.."
"phi.(Intercept)",-4.91324146941759,0.699286364628727,-7.02607932592276,1.42313317187314e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.4343741804669,0.654014987905477,-15.9543349516861,5.95116157399874e-42
"mu.trial_armPlacebo",1.33380597244639,0.566950072760086,2.35259864409755,0.0192863756075647
"phi.(Intercept)",-5.33384937791104,0.548838352245667,-9.71843413654799,1.352389301963e-19
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.48166143311462,0.197360134205497,-37.9086762543671,1.25173019654376e-116
"mu.trial_armPlacebo",-0.71063240688676,0.211897650598492,-3.353658735147,0.000899532577069043
"phi.(Intercept)",-5.43974683958646,0.221595380300551,-24.5481057962874,7.919624315889e-74
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.31486514204466,1.12509175312404,-7.39038848961142,1.45473657532587e-12
"mu.trial_armPlacebo",0.0269134408978512,0.816679574013699,0.0329547129060433,0.973732543521097
"phi.(Intercept)",-2.40114693801365,1.12915591814956,-2.1264972351636,0.0342752822330496
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.52582565873626,0.376696132974679,-19.9785052193306,4.04688118176579e-57
"mu.trial_armPlacebo",-0.414379592234963,0.322727942759316,-1.28399043693591,0.200132760014021
"phi.(Intercept)",-4.05155213129429,0.395306264100754,-10.2491473048392,2.43065165678895e-21
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.04317610929486,0.357484976441777,-25.2966605738401,1.77763322864829e-76
"mu.trial_armPlacebo",0.189970147743609,0.320982046676542,0.591840415096625,0.554401714228664
"phi.(Intercept)",-5.56838882226858,0.36354355976871,-15.3169783170172,1.48689531783495e-39
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.2080550657126,0.642974764560513,-15.8762919298863,1.171297290077e-41
"mu.trial_armPlacebo",1.54232967094697,0.55573752890665,2.77528435767391,0.00586047326843357
"phi.(Intercept)",-5.04147041971807,0.516916452185718,-9.75296955320502,1.04450211749204e-19
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.9291889882297,0.335920091407054,-23.6043904221895,1.89234225826929e-70
"mu.trial_armPlacebo",-0.065545995013804,0.288757376666438,-0.226993317956065,0.820583026441036
"phi.(Intercept)",-4.60687151568668,0.346608558144519,-13.2912803433025,4.93175319161035e-32
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.17790716720275,0.283881627384491,-28.8074548626092,1.63930342408311e-88
"mu.trial_armPlacebo",-0.32813670447344,0.269695003356925,-1.21669552787069,0.224673242264438
"phi.(Intercept)",-5.30263894943558,0.303415178163233,-17.4765118262569,1.06111096952241e-47
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.23428590070065,0.370780074131572,-22.2080054328343,2.23903031135885e-65
"mu.trial_armPlacebo",0.0889479227629765,0.312321437706474,0.284796085136402,0.775996216401477
"phi.(Intercept)",-4.66302673267075,0.377095763420284,-12.3656301263551,1.11241917426559e-28
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.61419409746728,1.22290714473194,-7.86175315017457,6.80667280976077e-14
"mu.trial_armPlacebo",0.437137401576451,0.912934581444876,0.478826643727972,0.632409604540167
"phi.(Intercept)",-3.45063034150108,1.19380627095527,-2.89044414110836,0.00412677152748238
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.49706313622632,0.340577448296142,-24.9489893671348,2.9967909149499e-75
"mu.trial_armPlacebo",-0.699796479858104,0.341814779936254,-2.04729731110109,0.0414968040542563
"phi.(Intercept)",-5.34219540880562,0.372127206608758,-14.3558313230836,5.81718974217392e-36
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.2352166119959,0.745602067839253,-13.7274520196242,1.23422232976093e-33
"mu.trial_armPlacebo",1.62205457528543,0.636239146724308,2.54944164255942,0.0112853747971663
"phi.(Intercept)",-4.70271289490899,0.591529935520506,-7.9500843702372,3.78377563123526e-14
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.83438230177102,0.596703507482842,-16.4811873542637,6.12250627836346e-44
"mu.trial_armPlacebo",0.756893068234087,0.499990002885613,1.51381640405968,0.131121708593844
"phi.(Intercept)",-5.09504685870239,0.559789073736772,-9.10172616391262,1.25774660520592e-17
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.91978197633448,0.765295082641191,-11.6553499148988,3.69383482105052e-26
"mu.trial_armPlacebo",-2.08402201285225,1.0606893625053,-1.96478072329291,0.050359203353027
"phi.(Intercept)",-4.31835378106234,0.841441708683173,-5.13208905203952,5.14820503949104e-07
